ing	466	3
s	450	1
ed	273	2
re	250	2
con	223	3
in	191	2
c	163	1
t	158	1
ly	143	2
ers	141	3
es	140	2
d	138	1
f	136	1
b	132	1
pro	128	3
m	124	1
p	122	1
un	121	2
en	120	2
dis	117	3
ar	109	2
al	108	2
's	107	2
er	107	2
h	105	1
ation	101	5
st	97	2
ex	95	2
com	94	3
ent	93	3
ated	93	4
S	89	1
ant	88	3
ations	88	6
w	87	1
de	87	2
r	84	1
inter	83	5
per	83	3
ating	82	5
H	81	1
ad	81	2
g	79	1
able	78	4
tr	77	2
res	77	3
B	75	1
se	72	2
n	71	1
ac	69	2
ate	69	3
e	68	1
ic	68	2
ies	68	3
M	67	1
v	67	1
im	67	2
ity	66	3
ings	65	4
ver	65	3
k	64	1
ch	64	2
sh	63	2
a	62	1
ist	62	3
ass	61	3
sub	61	3
an	60	2
as	60	2
or	59	2
C	58	1
ind	58	3
pre	58	3
est	58	3
F	57	1
W	57	1
l	56	1
o	56	1
ive	56	3
par	56	3
man	56	3
over	55	4
ap	54	2
comp	54	4
int	53	3
os	52	2
th	51	2
y	51	1
out	50	3
cr	50	2
ors	50	3
ful	50	3
le	50	2
ins	50	3
ter	50	3
ine	49	3
am	48	2
reg	48	3
em	48	2
trans	47	5
ir	47	2
at	46	2
age	46	3
ary	46	3
D	45	1
G	45	1
end	45	3
pr	45	2
co	45	2
ates	45	4
rem	45	3
el	45	2
T	44	1
car	44	3
on	43	2
is	43	2
str	43	3
ally	43	4
gr	42	2
ical	42	4
sp	42	2
cons	42	4
inc	42	3
fr	41	2
sc	41	2
ob	41	2
L	40	1
R	40	1
ab	40	2
off	40	3
ance	40	4
us	39	2
def	39	3
des	39	3
als	39	3
ag	38	2
ne	38	2
ang	38	3
fl	38	2
qu	38	2
K	37	1
cl	37	2
att	37	3
ness	37	4
ion	36	3
ish	36	3
br	36	2
ative	36	5
ens	36	3
app	35	3
land	35	4
ian	35	3
J	34	1
u	34	1
ig	34	2
up	34	2
part	34	4
Ch	34	2
vis	34	3
ions	34	4
be	33	2
ess	33	3
pl	33	2
ia	33	2
all	33	3
ge	33	2
ina	33	3
rel	33	3
les	33	3
ref	33	3
P	32	1
it	32	2
ph	32	2
arr	32	3
under	32	5
emb	32	3
ability	32	7
op	32	2
te	31	2
oc	31	2
ere	31	3
cont	31	4
led	31	3
ities	31	5
ized	31	4
rest	31	4
invest	31	6
min	31	3
leg	31	3
che	31	3
sol	31	3
E	30	1
ie	30	2
ma	30	2
cre	30	3
col	30	3
ically	30	6
ence	30	4
ado	30	3
V	29	1
he	29	2
port	29	4
art	29	3
ous	29	3
ely	29	3
way	29	3
prom	29	4
sur	29	3
il	29	2
wh	28	2
eng	28	3
back	28	4
pres	28	4
sl	28	2
ational	28	7
ism	28	3
super	28	5
ret	28	3
um	28	2
dr	28	2
ure	27	3
ific	27	4
ics	27	3
mar	27	3
cor	27	3
ans	27	3
mer	27	3
Con	27	3
our	26	3
ell	26	3
ser	26	3
her	26	3
bl	26	2
gl	26	2
less	26	4
conf	26	4
ide	26	3
ment	26	4
vol	26	3
ments	26	5
